,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
1133,Wincenty,m,pl,Wincentowie,Wincentych,Wincentym,Wincentych,Wincentymi,Wincentych,Wincentowie,Wincentowie,Wincentych,Wincentym,Wincentych,Wincentymi,Wincentych,Wincentowie
1134,Wit,m,s,Wit,Wita,Witowi,Wita,Witem,Wicie,Wicie,Wit,Wita,Witowi,Wita,Witem,Wicie,Wicie
1135,Wit,m,pl,Witowie,Witów,Witom,Witów,Witami,Witach,Witowie,Witowie,Witów,Witom,Witów,Witami,Witach,Witowie
1136,Witosław,m,s,Witosław,Witosława,Witosławowi,Witosława,Witosławem,Witosławie,Witosławie,Witosław,Witosława,Witosławowi,Witosława,Witosławem,Witosławie,Witosławie
1137,Witosław,m,pl,Witosławowie,Witosławów,Witosławom,Witosławów,Witosławami,Witosławach,Witosławowie,Witosławowie,Witosławów,Witosławom,Witosławów,Witosławami,Witosławach,Witosławowie
1138,Władysław,m,s,Władysław,Władysława,Władysławowi,Władysława,Władysławem,Władysławie,Władysławie,Władysław,Władysława,Władysławowi,Władysława,Władysławem,Władysławie,Władysławie
1139,Władysław,m,pl,Władysławowie,Władysławów,Władysławom,Władysławów,Władysławami,Władysławach,Władysławowie,Władysławowie,Władysławów,Władysławom,Władysławów,Władysławami,Władysławach,Władysławowie
1140,Włodzimierz,m,s,Włodzimierz,Włodzimierza,Włodzimierzowi,Włodzimierza,Włodzimierzem,Włodzimierzu,Włodzimierzu,Włodzimierz,Włodzimierza,Włodzimierzowi,Włodzimierza,Włodzimierzem,Włodzimierzu,Włodzimierzu
1141,Włodzimierz,m,pl,Włodzimierze,Włodzimierzów,Włodzimierzom,Włodzimierzów,Włodzimierzami,Włodzimierzach,Włodzimierze,Włodzimierze,Włodzimierzów,Włodzimierzom,Włodzimierzów,Włodzimierzami,Włodzimierzach,Włodzimierze
1142,Włodzisław,m,s,Włodzisław,Włodzisława,Włodzisławowi,Włodzisława,Włodzisławem,Włodzisławie,Włodzisławie,Włodzisław,Włodzisława,Włodzisławowi,Włodzisława,Włodzisławem,Włodzisławie,Włodzisławie
1143,Włodzisław,m,pl,Włodzisławowie,Włodzisławów,Włodzisławom,Włodzisławów,Włodzisławami,Włodzisławach,Włodzisławowie,Włodzisławowie,Włodzisławów,Włodzisławom,Włodzisławów,Włodzisławami,Włodzisławach,Włodzisławowie
1144,Wojciech,m,s,Wojciech,Wojciecha,Wojciechowi,Wojciecha,Wojciechem,Wojciechu,Wojciechu,Wojciech,Wojciecha,Wojciechowi,Wojciecha,Wojciechem,Wojciechu,Wojciechu
1145,Wojciech,m,pl,Wojciechowie,Wojciechów,Wojciechom,Wojciechów,Wojciechami,Wojciechach,Wojciechowie,Wojciechowie,Wojciechów,Wojciechom,Wojciechów,Wojciechami,Wojciechach,Wojciechowie
1146,Wojsław,m,s,Wojsław,Wojsława,Wojsławowi,Wojsława,Wojsławem,Wojsławie,Wojsławie,Wojsław,Wojsława,Wojsławowi,Wojsława,Wojsławem,Wojsławie,Wojsławie
1147,Wojsław,m,pl,Wojsławowie,Wojsławów,Wojsławom,Wojsławów,Wojsławami,Wojsławach,Wojsławowie,Wojsławowie,Wojsławów,Wojsławom,Wojsławów,Wojsławami,Wojsławach,Wojsławowie
1148,Wrocisław,m,s,Wrocisław,Wrocisława,Wrocisławowi,Wrocisława,Wrocisławem,Wrocisławie,Wrocisławie,Wrocisław,Wrocisława,Wrocisławowi,Wrocisława,Wrocisławem,Wrocisławie,Wrocisławie
1149,Wrocisław,m,pl,Wrocisławowie,Wrocisławów,Wrocisławom,Wrocisławów,Wrocisławami,Wrocisławach,Wrocisławowie,Wrocisławowie,Wrocisławów,Wrocisławom,Wrocisławów,Wrocisławami,Wrocisławach,Wrocisławowie
1150,Zachariasz,m,s,Zachariasz,Zachariasza,Zachariaszowi,Zachariasza,Zachariaszem,Zachariaszu,Zachariaszu,Zachariasz,Zachariasza,Zachariaszowi,Zachariasza,Zachariaszem,Zachariaszu,Zachariaszu
