,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
159,Ciechosława,f,pl,Ciechosławy,Ciechosław,Ciechosławom,Ciechosławy,Ciechosławami,Ciechosławach,Ciechosławy,Ciechosławy,Ciechosław,Ciechosławom,Ciechosławy,Ciechosławami,Ciechosławach,Ciechosławy
160,Ciesława,f,s,Ciesława,Ciesławy,Ciesławie,Ciesławę,Ciesławą,Ciesławie,Ciesławo,Ciesława,Ciesławy,Ciesławie,Ciesławę,Ciesławą,Ciesławie,Ciesławo
161,Czesława,f,s,Czesława,Czesławy,Czesławie,Czesławę,Czesławą,Czesławie,Czesławo,Czesława,Czesławy,Czesławie,Czesławę,Czesławą,Czesławie,Czesławo
162,Czesława,f,pl,Czesławy,Czesław,Czesławom,Czesławy,Czesławami,Czesławach,Czesławy,Czesławy,Czesław,Czesławom,Czesławy,Czesławami,Czesławach,Czesławy
163,Dagmara,f,s,Dagmara,Dagmary,Dagmarze,Dagmarę,Dagmarą,Dagmarze,Dagmaro,Dagmara,Dagmary,Dagmarze,Dagmarę,Dagmarą,Dagmarze,Dagmaro
164,Dagmara,f,pl,Dagmary,Dagmar,Dagmarom,Dagmary,Dagmarami,Dagmarach,Dagmary,Dagmary,Dagmar,Dagmarom,Dagmary,Dagmarami,Dagmarach,Dagmary
165,Dagna,f,s,Dagna,Dagny,Dagnie,Dagnę,Dagną,Dagnie,Dagno,Dagna,Dagny,Dagnie,Dagnę,Dagną,Dagnie,Dagno
166,Dalia,f,s,Dalia,Dalii,Dalii,Dalię,Dalią,Dali,Dalio,Dalia,Dalii,Dalii,Dalię,Dalią,Dali,Dalio
167,Dalila,f,s,Dalila,Dalili,Dalili,Dalilę,Dalilą,Dalili,Dalilo,Dalila,Dalili,Dalili,Dalilę,Dalilą,Dalili,Dalilo
168,Dalmira,f,s,Dalmira,Dalmiry,Dalmirze,Dalmirę,Dalmirą,Dalmirze,Dalmiro,Dalmira,Dalmiry,Dalmirze,Dalmirę,Dalmirą,Dalmirze,Dalmiro
