,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
298,Karyna,f,pl,,,,,,,,,,,,,,
299,Kazimiera,f,s,,,,,,,,,,,,,,
300,Kazimiera,f,pl,,,,,,,,,,,,,,
301,Kiara,f,s,,,,,,,,,,,,,,
302,Kiara,f,pl,,,,,,,,,,,,,,
303,Kiliana,f,s,,,,,,,,,,,,,,
304,Kiliana,f,pl,,,,,,,,,,,,,,
305,Kira,f,s,,,,,,,,,,,,,,
306,Kira,f,pl,,,,,,,,,,,,,,
307,Klara,f,s,,,,,,,,,,,,,,
308,Klara,f,pl,,,,,,,,,,,,,,
309,Klaudyna,f,s,,,,,,,,,,,,,,
310,Klaudyna,f,pl,,,,,,,,,,,,,,
311,Kordula,f,s,,,,,,,,,,,,,,
312,Kordula,f,pl,,,,,,,,,,,,,,
313,Kornelia,f,s,,,,,,,,,,,,,,
314,Kornelia,f,pl,,,,,,,,,,,,,,
315,Koryna,f,s,,,,,,,,,,,,,,
316,Koryna,f,pl,,,,,,,,,,,,,,
317,Krystiana,f,s,,,,,,,,,,,,,,
318,Krystiana,f,pl,,,,,,,,,,,,,,
319,Ksawera,f,s,,,,,,,,,,,,,,
320,Ksawera,f,pl,,,,,,,,,,,,,,
321,Kunegunda,f,s,,,,,,,,,,,,,,
322,Kunegunda,f,pl,,,,,,,,,,,,,,
323,Laila,f,s,,,,,,,,,,,,,,
324,Laila,f,pl,,,,,,,,,,,,,,
325,Lajla,f,s,,,,,,,,,,,,,,
326,Lajla,f,pl,,,,,,,,,,,,,,
327,Lana,f,s,,,,,,,,,,,,,,
328,Lana,f,pl,,,,,,,,,,,,,,
329,Lara,f,s,,,,,,,,,,,,,,
330,Lara,f,pl,,,,,,,,,,,,,,
331,Larisa,f,s,,,,,,,,,,,,,,
332,Larisa,f,pl,,,,,,,,,,,,,,
333,Larysa,f,s,,,,,,,,,,,,,,
334,Larysa,f,pl,,,,,,,,,,,,,,
335,Latifa,f,s,,,,,,,,,,,,,,
336,Latifa,f,pl,,,,,,,,,,,,,,
337,Laura,f,s,,,,,,,,,,,,,,
338,Laura,f,pl,,,,,,,,,,,,,,
339,Lea,f,s,,,,,,,,,,,,,,
340,Lea,f,pl,,,,,,,,,,,,,,
341,Lejla,f,s,,,,,,,,,,,,,,
342,Lejla,f,pl,,,,,,,,,,,,,,
343,Leka,f,s,,,,,,,,,,,,,,
344,Leka,f,pl,,,,,,,,,,,,,,
345,Leokadia,f,s,,,,,,,,,,,,,,
346,Leokadia,f,pl,,,,,,,,,,,,,,
347,Leona,f,s,,,,,,,,,,,,,,
348,Leona,f,pl,,,,,,,,,,,,,,
349,Leonarda,f,s,,,,,,,,,,,,,,
350,Leonarda,f,pl,,,,,,,,,,,,,,
351,Leoncja,f,s,,,,,,,,,,,,,,
352,Leoncja,f,pl,,,,,,,,,,,,,,
353,Leonora,f,s,,,,,,,,,,,,,,
354,Leonora,f,pl,,,,,,,,,,,,,,
355,Letycja,f,s,,,,,,,,,,,,,,
356,Letycja,f,pl,,,,,,,,,,,,,,
357,Lila,f,s,,,,,,,,,,,,,,
358,Lila,f,pl,,,,,,,,,,,,,,
359,Lilia,f,s,,,,,,,,,,,,,,
360,Lilia,f,pl,,,,,,,,,,,,,,
361,Liliana,f,s,,,,,,,,,,,,,,
362,Liliana,f,pl,,,,,,,,,,,,,,
363,Lisa,f,s,,,,,,,,,,,,,,
364,Lisa,f,pl,,,,,,,,,,,,,,
365,Liwia,f,s,,,,,,,,,,,,,,
366,Liwia,f,pl,,,,,,,,,,,,,,
367,Lola,f,s,,,,,,,,,,,,,,
368,Lola,f,pl,,,,,,,,,,,,,,
369,Luborada,f,s,,,,,,,,,,,,,,
370,Luborada,f,pl,,,,,,,,,,,,,,
371,Lucjana,f,s,,,,,,,,,,,,,,
372,Lucjana,f,pl,,,,,,,,,,,,,,
373,Lucjola,f,s,,,,,,,,,,,,,,
374,Lucjola,f,pl,,,,,,,,,,,,,,
375,Lucyna,f,s,,,,,,,,,,,,,,
376,Lucyna,f,pl,,,,,,,,,,,,,,
377,Ludolfa,f,s,,,,,,,,,,,,,,
378,Ludolfa,f,pl,,,,,,,,,,,,,,
379,Ludwina,f,s,,,,,,,,,,,,,,
380,Ludwina,f,pl,,,,,,,,,,,,,,
381,Macieja,f,s,,,,,,,,,,,,,,
382,Macieja,f,pl,,,,,,,,,,,,,,
383,Maksa,f,s,,,,,,,,,,,,,,
384,Maksa,f,pl,,,,,,,,,,,,,,
385,Maksyma,f,s,,,,,,,,,,,,,,
386,Maksyma,f,pl,,,,,,,,,,,,,,
387,Malena,f,s,,,,,,,,,,,,,,
388,Malena,f,pl,,,,,,,,,,,,,,
389,Malina,f,s,,,,,,,,,,,,,,
390,Malina,f,pl,,,,,,,,,,,,,,
391,Manuela,f,s,,,,,,,,,,,,,,
392,Manuela,f,pl,,,,,,,,,,,,,,
393,Marcelina,f,s,,,,,,,,,,,,,,
394,Marcelina,f,pl,,,,,,,,,,,,,,
395,Marcjana,f,s,,,,,,,,,,,,,,
396,Marcjana,f,pl,,,,,,,,,,,,,,
397,Marcjanna,f,s,,,,,,,,,,,,,,
398,Marcjanna,f,pl,,,,,,,,,,,,,,
399,Mariam,f,s,,,,,,,,,,,,,,
400,Mariam,f,pl,,,,,,,,,,,,,,
401,Marianna,f,s,,,,,,,,,,,,,,
402,Marianna,f,pl,,,,,,,,,,,,,,
403,Marlena,f,s,,,,,,,,,,,,,,
404,Marlena,f,pl,,,,,,,,,,,,,,
405,Marta,f,s,,,,,,,,,,,,,,
406,Marta,f,pl,,,,,,,,,,,,,,
407,Marzanna,f,s,,,,,,,,,,,,,,
408,Marzanna,f,pl,,,,,,,,,,,,,,
409,Mieczysława,f,s,,,,,,,,,,,,,,
410,Mieczysława,f,pl,,,,,,,,,,,,,,
411,Milena,f,s,,,,,,,,,,,,,,
412,Milena,f,pl,,,,,,,,,,,,,,
413,Milomira,f,s,,,,,,,,,,,,,,
414,Milomira,f,pl,,,,,,,,,,,,,,
415,Mina,f,s,,,,,,,,,,,,,,
416,Mina,f,pl,,,,,,,,,,,,,,
417,Minerwa,f,s,,,,,,,,,,,,,,
418,Minerwa,f,pl,,,,,,,,,,,,,,
419,Mirabela,f,s,,,,,,,,,,,,,,
420,Mirabela,f,pl,,,,,,,,,,,,,,
421,Mirella,f,s,,,,,,,,,,,,,,
422,Mirella,f,pl,,,,,,,,,,,,,,
423,Mirka,f,s,,,,,,,,,,,,,,
424,Mirka,f,pl,,,,,,,,,,,,,,
425,Miroda,f,s,,,,,,,,,,,,,,
426,Miroda,f,pl,,,,,,,,,,,,,,
427,Mirosława,f,s,,,,,,,,,,,,,,
428,Mirosława,f,pl,,,,,,,,,,,,,,
429,Mirołada,f,s,,,,,,,,,,,,,,
430,Mirołada,f,pl,,,,,,,,,,,,,,
431,Miłowita,f,s,,,,,,,,,,,,,,
432,Miłowita,f,pl,,,,,,,,,,,,,,
433,Mojmira,f,s,,,,,,,,,,,,,,
434,Mojmira,f,pl,,,,,,,,,,,,,,
435,Mojra,f,s,,,,,,,,,,,,,,
436,Mojra,f,pl,,,,,,,,,,,,,,
437,Najmiła,f,s,,,,,,,,,,,,,,
438,Najmiła,f,pl,,,,,,,,,,,,,,
439,Najsława,f,s,,,,,,,,,,,,,,
440,Najsława,f,pl,,,,,,,,,,,,,,
441,Narcyza,f,s,,,,,,,,,,,,,,
442,Narcyza,f,pl,,,,,,,,,,,,,,
443,Nela,f,s,,,,,,,,,,,,,,
444,Nela,f,pl,,,,,,,,,,,,,,
445,Nika,f,s,,,,,,,,,,,,,,
446,Nika,f,pl,,,,,,,,,,,,,,
447,Nikodema,f,s,,,,,,,,,,,,,,
448,Nikodema,f,pl,,,,,,,,,,,,,,
449,Nikoleta,f,s,,,,,,,,,,,,,,
450,Nikoleta,f,pl,,,,,,,,,,,,,,
451,Nikolina,f,s,,,,,,,,,,,,,,
452,Nikolina,f,pl,,,,,,,,,,,,,,
453,Nina,f,s,,,,,,,,,,,,,,
454,Nina,f,pl,,,,,,,,,,,,,,
455,Nira,f,s,,,,,,,,,,,,,,
456,Nira,f,pl,,,,,,,,,,,,,,
457,Nita,f,s,,,,,,,,,,,,,,
458,Nita,f,pl,,,,,,,,,,,,,,
459,Nitara,f,s,,,,,,,,,,,,,,
460,Nitara,f,pl,,,,,,,,,,,,,,
461,Norberta,f,s,,,,,,,,,,,,,,
462,Norberta,f,pl,,,,,,,,,,,,,,
463,Norma,f,s,,,,,,,,,,,,,,
464,Norma,f,pl,,,,,,,,,,,,,,
465,Oda,f,s,,,,,,,,,,,,,,
466,Oda,f,pl,,,,,,,,,,,,,,
467,Odeta,f,s,,,,,,,,,,,,,,
468,Odeta,f,pl,,,,,,,,,,,,,,
469,Odyla,f,s,,,,,,,,,,,,,,
470,Odyla,f,pl,,,,,,,,,,,,,,
471,Oksana,f,s,,,,,,,,,,,,,,
472,Oksana,f,pl,,,,,,,,,,,,,,
473,Ola,f,s,,,,,,,,,,,,,,
474,Ola,f,pl,,,,,,,,,,,,,,
475,Olena,f,s,,,,,,,,,,,,,,
476,Olena,f,pl,,,,,,,,,,,,,,
477,Oliwia,f,s,,,,,,,,,,,,,,
478,Oliwia,f,pl,,,,,,,,,,,,,,
479,Ota,f,s,,,,,,,,,,,,,,
480,Ota,f,pl,,,,,,,,,,,,,,
481,Otylia,f,s,,,,,,,,,,,,,,
482,Otylia,f,pl,,,,,,,,,,,,,,
483,Pabiana,f,s,,,,,,,,,,,,,,
484,Pabiana,f,pl,,,,,,,,,,,,,,
485,Pamela,f,s,,,,,,,,,,,,,,
486,Pamela,f,pl,,,,,,,,,,,,,,
487,Paula,f,s,,,,,,,,,,,,,,
488,Paula,f,pl,,,,,,,,,,,,,,
489,Paulina,f,s,,,,,,,,,,,,,,
490,Paulina,f,pl,,,,,,,,,,,,,,
491,Placyda,f,s,,,,,,,,,,,,,,
492,Placyda,f,pl,,,,,,,,,,,,,,
493,Pola,f,s,,,,,,,,,,,,,,
494,Pola,f,pl,,,,,,,,,,,,,,
495,Polianna,f,s,,,,,,,,,,,,,,
