name,sex,declination_json
Bibiana,f,"{"nominativus": {"s": "Bibiana", "pl": "Bibiany"}, "genetivus": {"s": "Bibiany", "pl": "Bibian"}, "dativus": {"s": "Bibianie", "pl": "Bibianom"}, "accusativus": {"s": "Bibianę", "pl": "Bibiany"}, "instrumentalis": {"s": "Bibianą", "pl": "Bibianami"}, "locativus": {"s": "Bibianie", "pl": "Bibianach"}, "vocativus": {"s": "Bibiano", "pl": "Bibiany"}}"
Blanka,f,"{"nominativus": {"s": "Blanka", "pl": "Blanki"}, "genetivus": {"s": "Blanki", "pl": "Blanek"}, "dativus": {"s": "Blance", "pl": "Blankom"}, "accusativus": {"s": "Blankę", "pl": "Blanki"}, "locativus": {"s": "Blance", "pl": "Blankach"}, "instrumentalis": {"s": "Blanką", "pl": "Blankami"}}"
Boguchwała,f,"{"nominativus": {"s": "Boguchwała", "pl": "Boguchwały"}, "genetivus": {"s": "Boguchwały", "pl": "Boguchwał"}, "dativus": {"s": "Boguchwale", "pl": "Boguchwałom"}, "accusativus": {"s": "Boguchwałę", "pl": "Boguchwały"}, "instrumentalis": {"s": "Boguchwałą", "pl": "Boguchwałami"}, "locativus": {"s": "Boguchwale", "pl": "Boguchwałach"}, "vocativus": {"s": "Boguchwało", "pl": "Boguchwały"}}"
Bogumiła,f,"{"nominativus": {"s": "Bogumiła", "pl": "Bogumiły"}, "genetivus": {"s": "Bogumiły", "pl": "Bogumił"}, "dativus": {"s": "Bogumile", "pl": "Bogumiłom"}, "accusativus": {"s": "Bogumiłę", "pl": "Bogumiły"}, "instrumentalis": {"s": "Bogumiłą", "pl": "Bogumiłami"}, "locativus": {"s": "Bogumile", "pl": "Bogumiłach"}, "vocativus": {"s": "Bogumiło", "pl": "Bogumiły"}}"
Bona,f,"{"nominativus": {"s": "Bona", "pl": "Bony"}, "genetivus": {"s": "Bony", "pl": "Bon"}, "dativus": {"s": "Bonie", "pl": "Bonom"}, "accusativus": {"s": "Bonę", "pl": "Bony"}, "instrumentalis": {"s": "Boną", "pl": "Bonami"}, "locativus": {"s": "Bonie", "pl": "Bonach"}, "vocativus": {"s": "Bono", "pl": "Bony"}}"
Bożena,f,"{"nominativus": {"s": "Bożena", "pl": "Bożeny"}, "genetivus": {"s": "Bożeny", "pl": "Bożen"}, "dativus": {"s": "Bożenie", "pl": "Bożenom"}, "accusativus": {"s": "Bożenę", "pl": "Bożeny"}, "instrumentalis": {"s": "Bożeną", "pl": "Bożenami"}, "locativus": {"s": "Bożenie", "pl": "Bożenach"}, "vocativus": {"s": "Bożeno", "pl": "Bożeny"}}"
Bronisława,f,"{"nominativus": {"s": "Bronisława", "pl": "Bronisławy"}, "genetivus": {"s": "Bronisławy", "pl": "Bronisław"}, "dativus": {"s": "Bronisławie", "pl": "Bronisławom"}, "accusativus": {"s": "Bronisławę", "pl": "Bronisławy"}, "instrumentalis": {"s": "Bronisławą", "pl": "Bronisławami"}, "locativus": {"s": "Bronisławie", "pl": "Bronisławach"}, "vocativus": {"s": "Bronisławo", "pl": "Bronisławy"}}"
Brygida,f,"{"nominativus": {"s": "Brygida", "pl": "Brygidy"}, "genetivus": {"s": "Brygidy", "pl": "Brygid"}, "dativus": {"s": "Brygidzie", "pl": "Brygidom"}, "accusativus": {"s": "Brygidę", "pl": "Brygidy"}, "instrumentalis": {"s": "Brygidą", "pl": "Brygidami"}, "locativus": {"s": "Brygidzie", "pl": "Brygidach"}, "vocativus": {"s": "Brygido", "pl": "Brygidy"}}"
Cecylia,f,"{"nominativus": {"s": "Cecylia", "pl": "Cecylie"}, "genetivus": {"s": "Cecylii", "pl": "Cecylii"}, "dativus": {"s": "Cecylii", "pl": "Cecyliom"}, "accusativus": {"s": "Cecylię", "pl": "Cecylie"}, "instrumentalis": {"s": "Cecylią", "pl": "Cecyliami"}, "locativus": {"s": "Cecylii", "pl": "Cecyliach"}, "vocativus": {"s": "Cecylio", "pl": "Cecylie"}}"
Celina,f,"{"nominativus": {"s": "Celina", "pl": "Celiny"}, "genetivus": {"s": "Celiny", "pl": "Celin"}, "dativus": {"s": "Celinie", "pl": "Celinom"}, "accusativus": {"s": "Celinę", "pl": "Celiny"}, "instrumentalis": {"s": "Celiną", "pl": "Celinami"}, "locativus": {"s": "Celinie", "pl": "Celinach"}, "vocativus": {"s": "Celino", "pl": "Celiny"}}"
Cezaria,f,"{"nominativus": {"s": "Cezaria", "pl": "Cezarie"}, "genetivus": {"s": "Cezarii", "pl": "Cezarii"}, "dativus": {"s": "Cezarii", "pl": "Cezariom"}, "accusativus": {"s": "Cezarię", "pl": "Cezarie"}, "instrumentalis": {"s": "Cezarią", "pl": "Cezariami"}, "locativus": {"s": "Cezarii", "pl": "Cezariach"}, "vocativus": {"s": "Cezario", "pl": "Cezarie"}}"
Ciechosława,f,"{"nominativus": {"s": "Ciechosława", "pl": "Ciechosławy"}, "genetivus": {"s": "Ciechosławy", "pl": "Ciechosław"}, "dativus": {"s": "Ciechosławie", "pl": "Ciechosławom"}, "accusativus": {"s": "Ciechosławę", "pl": "Ciechosławy"}, "instrumentalis": {"s": "Ciechosławą", "pl": "Ciechosławami"}, "locativus": {"s": "Ciechosławie", "pl": "Ciechosławach"}, "vocativus": {"s": "Ciechosławo", "pl": "Ciechosławy"}}"
Czesława,f,"{"nominativus": {"s": "Czesława", "pl": "Czesławy"}, "genetivus": {"s": "Czesławy", "pl": "Czesław"}, "dativus": {"s": "Czesławie", "pl": "Czesławom"}, "accusativus": {"s": "Czesławę", "pl": "Czesławy"}, "instrumentalis": {"s": "Czesławą", "pl": "Czesławami"}, "locativus": {"s": "Czesławie", "pl": "Czesławach"}, "vocativus": {"s": "Czesławo", "pl": "Czesławy"}}"
Dagmara,f,"{"nominativus": {"s": "Dagmara", "pl": "Dagmary"}, "genetivus": {"s": "Dagmary", "pl": "Dagmar"}, "dativus": {"s": "Dagmarze", "pl": "Dagmarom"}, "accusativus": {"s": "Dagmarę", "pl": "Dagmary"}, "instrumentalis": {"s": "Dagmarą", "pl": "Dagmarami"}, "locativus": {"s": "Dagmarze", "pl": "Dagmarach"}, "vocativus": {"s": "Dagmaro", "pl": "Dagmary"}}"
Damroka,f,"{"nominativus": {"s": "Damroka", "pl": "Damroki"}, "genetivus": {"s": "Damroki", "pl": "Damrok"}, "dativus": {"s": "Damroce", "pl": "Damrokom"}, "accusativus": {"s": "Damrokę", "pl": "Damroki"}, "instrumentalis": {"s": "Damroką", "pl": "Damrokami"}, "locativus": {"s": "Damroce", "pl": "Damrokach"}, "vocativus": {"s": "Damroko", "pl": "Damroki"}}"
Dana,f,"{"nominativus": {"s": "Dana", "pl": "Dany"}, "genetivus": {"s": "Dany", "pl": "Dan"}, "dativus": {"s": "Danie", "pl": "Danom"}, "accusativus": {"s": "Danę", "pl": "Dany"}, "instrumentalis": {"s": "Daną", "pl": "Danami"}, "locativus": {"s": "Danie", "pl": "Danach"}, "vocativus": {"s": "Dano", "pl": "Dany"}}"
Daniela,f,"{"nominativus": {"s": "Daniela", "pl": "Daniele"}, "genetivus": {"s": "Danieli", "pl": "Daniel"}, "dativus": {"s": "Danieli", "pl": "Danielom"}, "accusativus": {"s": "Danielę", "pl": "Daniele"}, "instrumentalis": {"s": "Danielą", "pl": "Danielami"}, "locativus": {"s": "Danieli", "pl": "Danielach"}, "vocativus": {"s": "Danielo", "pl": "Daniele"}}"
Danisława,f,"{"nominativus": {"s": "Danisława", "pl": "Danisławy"}, "genetivus": {"s": "Danisławy", "pl": "Danisław"}, "dativus": {"s": "Danisławie", "pl": "Danisławom"}, "accusativus": {"s": "Danisławę", "pl": "Danisławy"}, "instrumentalis": {"s": "Danisławą", "pl": "Danisławami"}, "locativus": {"s": "Danisławie", "pl": "Danisławach"}, "vocativus": {"s": "Danisławo", "pl": "Danisławy"}}"
Danuta,f,"{"nominativus": {"s": "Danuta", "pl": "Danuty"}, "genetivus": {"s": "Danuty", "pl": "Danut"}, "dativus": {"s": "Danucie", "pl": "Danutom"}, "accusativus": {"s": "Danutę", "pl": "Danuty"}, "instrumentalis": {"s": "Danutą", "pl": "Danutami"}, "locativus": {"s": "Danucie", "pl": "Danutach"}, "vocativus": {"s": "Danuto", "pl": "Danuty"}}"
